main_weather,current_temp,feels_like,timestamp,city
Mist,30.05000000000001,29.99000000000001,1729686796,Delhi
Haze,31.99000000000001,37.670000000000016,1729686587,Mumbai
Mist,30.08000000000004,37.08000000000004,1729687076,Chennai
Rain,23.05000000000001,23.55000000000001,1729686598,Bangalore
Haze,25.970000000000027,25.970000000000027,1729686605,Kolkata
Clouds,24.19,24.44,1729686827,Hyderabad
Haze,29.05000000000001,29.49000000000001,1729687331,Delhi
Haze,31.99000000000001,37.670000000000016,1729687345,Mumbai
Mist,30.08000000000004,37.08000000000004,1729687076,Chennai
Rain,21.890000000000043,22.410000000000025,1729687051,Bangalore
Haze,25.970000000000027,25.970000000000027,1729687299,Kolkata
Clouds,24.19,24.44,1729686827,Hyderabad
Haze,29.05000000000001,29.49000000000001,1729687273,Delhi
Haze,31.99000000000001,37.670000000000016,1729687476,Mumbai
Mist,30.08000000000004,37.08000000000004,1729687566,Chennai
Rain,21.890000000000043,22.410000000000025,1729687231,Bangalore
Haze,25.970000000000027,25.970000000000027,1729687415,Kolkata
Clouds,24.189999999999998,24.439999999999998,1729687271,Hyderabad
